epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.0135,1.32298,2.4659,1.76856,1.30257,0.96089,0.66432,0.93943,0.67456,0.96089,0.66432,0.93943,0.67415,1.06271,0.43618,2.16713,0.94721,0.000647059,0.000647059,0.000647059
2,26.7196,0.84871,0.35682,0.90088,1.00592,0.73225,0.97297,0.8872,0.50537,0.73225,0.97297,0.8872,0.47663,1.32377,0.01336,1.81795,1.31412,0.00128771,0.00128771,0.00128771
3,39.3375,0.81698,0.32632,0.83526,0.99698,0.8343,0.91892,0.92984,0.53599,0.8343,0.91892,0.92984,0.53303,1.16614,0.05227,1.31397,1.10244,0.00190197,0.00190197,0.00190197
4,51.9778,0.77894,0.32429,0.71065,0.97697,0.9417,1,0.99316,0.7103,0.9417,1,0.99316,0.75122,0.95863,0.05909,1.22518,0.98141,0.0018812,0.0018812,0.0018812
5,64.5991,0.7429,0.34205,0.63191,0.97285,0.96786,1,0.995,0.83699,0.96786,1,0.995,0.79847,0.87774,0.06508,0.78359,0.90388,0.0018416,0.0018416,0.0018416
6,77.3425,0.70746,0.31887,0.5893,0.94477,0.9951,1,0.995,0.86683,0.9951,1,0.995,0.80759,0.57983,0.06625,0.53788,0.87691,0.001802,0.001802,0.001802
7,89.9691,0.64642,0.32461,0.53849,0.94502,0.99426,1,0.995,0.8735,0.99426,1,0.995,0.86173,0.66089,0.05925,0.58926,0.8704,0.0017624,0.0017624,0.0017624
8,102.566,0.6291,0.29956,0.49784,0.93868,0.99752,1,0.995,0.89439,0.99752,1,0.995,0.91402,0.52459,0.11119,0.52866,0.92752,0.0017228,0.0017228,0.0017228
9,115.15,0.61849,0.30558,0.46945,0.92631,0.96116,1,0.99447,0.90114,0.96116,1,0.99447,0.88738,0.50434,0.11793,0.58347,0.84725,0.0016832,0.0016832,0.0016832
10,127.771,0.57768,0.2865,0.44753,0.91671,0.99753,1,0.995,0.92553,0.99753,1,0.995,0.91391,0.42613,0.13807,0.38879,0.81334,0.0016436,0.0016436,0.0016436
11,140.391,0.59568,0.2976,0.43948,0.92638,0.99804,1,0.995,0.84114,0.99804,1,0.995,0.84717,0.59499,0.0546,0.35244,0.84702,0.001604,0.001604,0.001604
12,153.03,0.62293,0.32232,0.43751,0.92659,0.99822,1,0.995,0.87312,0.99822,1,0.995,0.87897,0.54237,0.11105,0.39753,0.87319,0.0015644,0.0015644,0.0015644
13,165.645,0.63875,0.29015,0.45418,0.92734,0.99157,1,0.995,0.9094,0.99157,1,0.995,0.86692,0.45353,0.06954,0.41421,0.81788,0.0015248,0.0015248,0.0015248
14,178.251,0.56863,0.27938,0.40573,0.91506,0.96895,1,0.995,0.95935,0.96895,1,0.995,0.89549,0.32452,0.17586,0.37607,0.78876,0.0014852,0.0014852,0.0014852
15,190.68,0.55266,0.25733,0.38695,0.90943,0.99768,1,0.995,0.92276,0.99768,1,0.995,0.90631,0.45469,0.0709,0.33932,0.77888,0.0014456,0.0014456,0.0014456
16,203.109,0.51247,0.28118,0.36632,0.89529,0.99486,1,0.995,0.94339,0.99486,1,0.995,0.90473,0.31382,0.11364,0.29591,0.75188,0.001406,0.001406,0.001406
17,215.525,0.4968,0.26369,0.3543,0.89653,0.99838,1,0.995,0.92408,0.99838,1,0.995,0.93978,0.41835,0.07277,0.30741,0.77571,0.0013664,0.0013664,0.0013664
18,228.084,0.51294,0.28019,0.35693,0.88851,0.99843,1,0.995,0.92156,0.99843,1,0.995,0.92008,0.35503,0.08866,0.26163,0.79036,0.0013268,0.0013268,0.0013268
19,240.694,0.47483,0.25832,0.34035,0.89185,0.99849,1,0.995,0.94746,0.99849,1,0.995,0.91777,0.33238,0.07635,0.31883,0.78957,0.0012872,0.0012872,0.0012872
20,253.401,0.4656,0.25178,0.32828,0.89306,0.99838,1,0.995,0.95423,0.99838,1,0.995,0.91566,0.34059,0.05263,0.28176,0.7656,0.0012476,0.0012476,0.0012476
21,266.441,0.55326,0.27238,0.36345,0.90306,0.99808,1,0.995,0.94238,0.99808,1,0.995,0.90762,0.27784,0.07866,0.27114,0.74696,0.001208,0.001208,0.001208
22,279.397,0.51658,0.27099,0.3545,0.89596,0.97658,1,0.995,0.92666,0.97658,1,0.995,0.8709,0.37894,0.12356,0.64999,0.86552,0.0011684,0.0011684,0.0011684
23,292.153,0.52399,0.28755,0.35336,0.90322,0.62866,0.67568,0.5896,0.34932,0.62866,0.67568,0.59319,0.32946,0.78417,0.10609,2.53883,1.04737,0.0011288,0.0011288,0.0011288
24,304.764,0.49226,0.27576,0.33155,0.88713,0.99757,1,0.995,0.96765,0.99757,1,0.995,0.90138,0.34577,0.12426,0.24807,0.80213,0.0010892,0.0010892,0.0010892
25,317.354,0.44448,0.26537,0.31478,0.87923,0.99851,1,0.995,0.94313,0.99851,1,0.995,0.88829,0.35538,0.06644,0.27087,0.76378,0.0010496,0.0010496,0.0010496
26,329.935,0.44135,0.25571,0.31101,0.88321,0.99847,1,0.995,0.91276,0.99847,1,0.995,0.91097,0.30948,0.07041,0.23171,0.75527,0.00101,0.00101,0.00101
27,342.495,0.43678,0.232,0.30813,0.88427,0.99782,1,0.995,0.97213,0.99782,1,0.995,0.92044,0.28004,0.08347,0.21766,0.74521,0.0009704,0.0009704,0.0009704
28,355.154,0.44329,0.24515,0.31414,0.886,0.99854,1,0.995,0.96305,0.99854,1,0.995,0.93387,0.31894,0.08884,0.28102,0.76371,0.0009308,0.0009308,0.0009308
29,367.849,0.42846,0.25148,0.2973,0.88177,0.99851,1,0.995,0.96713,0.99851,1,0.995,0.92913,0.32144,0.09859,0.22899,0.74968,0.0008912,0.0008912,0.0008912
30,380.431,0.42022,0.2375,0.28848,0.88493,0.99851,1,0.995,0.97789,0.99851,1,0.995,0.91692,0.24303,0.0756,0.27011,0.77191,0.0008516,0.0008516,0.0008516
31,393.017,0.39797,0.24792,0.28232,0.86978,0.99314,1,0.995,0.98092,0.99314,1,0.995,0.90497,0.31482,0.10771,0.28441,0.78494,0.000812,0.000812,0.000812
32,405.605,0.37303,0.21815,0.26914,0.87137,0.98017,1,0.995,0.97139,0.98017,1,0.995,0.90373,0.33153,0.11371,0.28728,0.76305,0.0007724,0.0007724,0.0007724
33,418.925,0.38526,0.22891,0.27246,0.87709,0.99857,1,0.995,0.97668,0.99857,1,0.995,0.90149,0.2669,0.09751,0.19072,0.72868,0.0007328,0.0007328,0.0007328
34,432.593,0.37946,0.24006,0.26889,0.87189,0.99849,1,0.995,0.96736,0.99849,1,0.995,0.91461,0.31283,0.08288,0.22675,0.76167,0.0006932,0.0006932,0.0006932
35,446.512,0.36942,0.21639,0.26173,0.87081,0.99853,1,0.995,0.98259,0.99853,1,0.995,0.93188,0.26212,0.12771,0.19049,0.74915,0.0006536,0.0006536,0.0006536
36,460.525,0.3716,0.22045,0.26182,0.87338,0.99858,1,0.995,0.97608,0.99858,1,0.995,0.93007,0.23157,0.06574,0.18191,0.72716,0.000614,0.000614,0.000614
37,474.216,0.36801,0.23031,0.25794,0.87614,0.99853,1,0.995,0.98338,0.99853,1,0.995,0.92487,0.25449,0.081,0.19111,0.72358,0.0005744,0.0005744,0.0005744
38,487.735,0.36561,0.2498,0.2521,0.87609,0.99852,1,0.995,0.97686,0.99852,1,0.995,0.90916,0.2428,0.09638,0.19991,0.73499,0.0005348,0.0005348,0.0005348
39,500.619,0.35283,0.23194,0.25019,0.87248,0.99858,1,0.995,0.97829,0.99858,1,0.995,0.9218,0.28164,0.06841,0.20365,0.7229,0.0004952,0.0004952,0.0004952
